BRA 3494,25,0
HUNT 509,23,0
04TFA584,206,0
BRA 1514,24,0
68ANX483,27,0
BRA 1514,25,0
BRA 4679,24,0
65SEA521,107,1
BRA 8412,24,0
BRA 4679,25,0
BRA 8374,24,0
VI 8651 ,26,0
BRA 8412,25,0
BRA 2888,6,7
BRA 2888,30,8
BRA 7047,24,0
04TFA584,6,0
04TFA584,27,0
04TFA584,105,0
BRA 1596,24,0
26ODY883,25,0
03FRL912,23,0
BRA 8374,25,0
PI 5105 ,667,38
PI 8566 ,667,8
BRA 7047,25,0
VI 8651 ,27,0
69REC248,4,18
PI 8048 ,667,0
PI 4061 ,667,0
VI 1051 ,26,88
67IND097,23,13
VI 1051 ,6,7
PI 5105 ,668,2
PI 8566 ,668,2
BRA 1596,25,0
PI 4061 ,668,0
PI 8048 ,668,0
BRA 1596,6,0
BRA 1596,30,0
BRA 1424,24,200
BRA 6391,24,174
BRA 7184,24,0
BRA 2310,24,0
45WHK206,29,0
BRA 2310,25,0
BRA 2724,24,0
BRA 2724,25,0
BRA 7184,25,0
VI 7352 ,26,0
VI 8019 ,26,0
HUNT 828,23,0
45WHK206,4,0
VI 7352 ,27,0
DEPA 154,23,0
BRA 7916,24,0
45WHK206,6,0
VI 8019 ,27,0
BRA 7916,25,200
06NMV545,8,0
28TID566,27,0
VI 2611 ,26,0
VI 1529 ,26,0
85AYB532,206,0
85AYB532,30,0
VI 7893 ,26,0
VI 2904 ,26,0
85LRA649,32,0
85LRA649,33,0
VI 2611 ,27,115
VI 6460 ,26,18
VI 2904 ,27,1
VI 7893 ,27,0
VI 9310 ,26,192
VI 9310 ,27,6
PI 3987 ,667,0
PI 3987 ,668,0
HUNT 626,23,7
HUNT 891,23,0
HUNT 500,23,6
HUNT 275,23,25
PI 2600 ,668,0
09XIN050,23,0
81ZVB783,33,0
42WZF386,27,10
09XIN050,211,0
PI 8943 ,667,2
PI 8943 ,668,0
VI 7506 ,26,0
DEPA 216,23,0
VI 7506 ,27,0
HUNT 195,23,0
HUNT 646,23,0
HUNT 722,23,0
HUNT 763,23,0
28TID566,30,0
28TID566,6,0
HUNT 848,23,0
HUNT 281,23,0
HUNT 211,23,9
VI 8745 ,26,0
HUNT 273,23,0
HUNT 460,23,4
01ZLJ778,405,1
HUNT 338,23,0
VI 8745 ,27,0
63YRW799,206,0
85JKS575,23,0
HUNT 710,23,1
85JKS575,6,0
HUNT 697,23,11
HUNT 380,23,26
HUNT 697,206,1
HUNT 304,23,0
HUNT 830,23,0
PI 9101 ,667,0
VI 6465 ,26,0
00GLY025,4,0
25WLN366,4,0
VI 1209 ,26,0
PI 9101 ,668,0
VI 6465 ,27,0
BRA 8650,24,0
BRA 7209,24,200
BRA 8650,25,0
BRA 4864,24,10
BRA 5346,24,0
60FFS465,26,0
08YVK328,211,0
BRA 5429,24,0
PI 4277 ,667,33
VI 4494 ,26,98
VI 7158 ,26,87
BRA 3444,24,180
BRA 4864,25,173
BRA 5429,25,47
28IUY647,33,0
BRA 5346,25,0
VI 7158 ,27,98
VI 4494 ,27,92
47UEK742,4,0
62SZT815,32,0
VI 1394 ,32,0
62SZT815,33,0
AMB4178 ,205,15
VI 1394 ,33,0
60FFS465,4,0
HUNT 471,23,19
HUNT 716,23,0
HUNT 749,23,8
HUNT 298,23,17
LSPD 122,8,6
HUNT 469,23,0
LSPD 122,4,0
LSPD 122,33,10
HUNT 192,8,6
HUNT 192,29,20
59TDS651,8,0
59TDS651,32,0
VI 1864 ,26,0
VI 1864 ,27,73
DEPA 598,4,0
DEPA 598,30,0
BRA 6136,24,0
DEPA 598,8,15
PI 4198 ,667,0
PI 4198 ,668,0
BRA 6136,25,0
04TFA584,4,0
BRA 4291,24,0
26GJX147,4,0
26GJX147,8,0
BRA 4291,25,0
VI 9388 ,27,0
VI 9388 ,26,0
VI 9388 ,210,0
HUNT 816,23,26
BRA 4376,24,30
BRA 6660,24,0
HUNT 876,4,50
BRA 6660,25,0
BRA 3374,24,0
BRA 3374,25,0
VI 4206 ,26,96
VI 7108 ,26,0
VI 5256 ,26,0
VI 7108 ,27,20
LSPD 477,668,0
VI 5256 ,27,0
PI 3238 ,667,0
PI 3238 ,668,5
81ZVB783,4,0
HUNT 635,23,20
89OGE239,668,0
VI 3065 ,26,0
VI 3065 ,27,115
89OGE239,4,0
BRA 5299,24,0
AMB8840 ,205,30
BRA 2919,24,0
BRA 4283,24,0
BRA 4283,25,0
BRA 4283,211,0
PI 8651 ,667,0
BRA 2919,25,0
BRA 5299,25,0
UBER 411,23,0
BRA 4087,24,0
BRA 6508,24,0
PI 8651 ,668,0
BRA 6508,25,0
BRA 4087,25,0
BRA 3507,24,0
BRA 3507,25,0
VI 9969 ,26,199
LSPD 868,30,7
LSPD 261,4,0
LSPD 868,4,0
49TZX707,210,0
49TZX707,211,0
21GFI913,33,0
49TZX707,6,0
49TZX707,30,0
BRA 8518,24,0
BRA 3000,24,0
BRA 2410,24,0
BRA 8518,25,0
BRA 3000,25,0
BRA 2410,25,0
27RBY806,6,10
PI 6273 ,667,0
PI 6273 ,668,0
BRA 3710,24,0
81MTY922,106,0
81MTY922,107,0
24KPT799,107,0
24KPT799,106,0
BRA 3797,24,0
BRA 3710,4,0
BRA 3710,25,0
BRA 2527,24,0
BRA 8103,24,0
BRA 3797,25,0
BRA 2527,25,105
BRA 8103,25,0
28TID566,102,0
28TID566,210,0
28TID566,211,0
VI 5007 ,6,0
